4952
KLMA_10001	KLMA_10001	MissingGeneType
KLMA_10002	KLMA_10002	MissingGeneType
KLMA_10003	KLMA_10003	MissingGeneType
KLMA_10004	KLMA_10004	MissingGeneType
KLMA_10005	KLMA_10005	MissingGeneType
KLMA_10006	KLMA_10006	MissingGeneType
KLMA_10007	KLMA_10007	MissingGeneType
KLMA_10008	KLMA_10008	MissingGeneType
KLMA_10009	KLMA_10009	MissingGeneType
KLMA_10010	KLMA_10010	MissingGeneType
KLMA_10011	KLMA_10011	MissingGeneType
KLMA_10012	KLMA_10012	MissingGeneType
KLMA_10013	KLMA_10013	MissingGeneType
KLMA_10014	KLMA_10014	MissingGeneType
KLMA_10015	KLMA_10015	MissingGeneType
KLMA_10016	KLMA_10016	MissingGeneType
KLMA_10017	KLMA_10017	MissingGeneType
KLMA_10018	KLMA_10018	MissingGeneType
KLMA_10019	KLMA_10019	MissingGeneType
KLMA_10020	KLMA_10020	MissingGeneType
KLMA_10021	KLMA_10021	MissingGeneType
KLMA_10022	KLMA_10022	MissingGeneType
KLMA_10023	KLMA_10023	MissingGeneType
KLMA_10024	KLMA_10024	MissingGeneType
KLMA_10025	KLMA_10025	MissingGeneType
KLMA_10026	KLMA_10026	MissingGeneType
KLMA_10027	KLMA_10027	MissingGeneType
KLMA_10028	KLMA_10028	MissingGeneType
KLMA_10029	KLMA_10029	MissingGeneType
KLMA_10030	KLMA_10030	MissingGeneType
KLMA_10031	KLMA_10031	MissingGeneType
KLMA_10032	KLMA_10032	MissingGeneType
KLMA_10033	KLMA_10033	MissingGeneType
KLMA_10034	KLMA_10034	MissingGeneType
KLMA_10035	KLMA_10035	MissingGeneType
KLMA_10036	KLMA_10036	MissingGeneType
KLMA_10037	KLMA_10037	MissingGeneType
KLMA_10038	KLMA_10038	MissingGeneType
KLMA_10039	KLMA_10039	MissingGeneType
KLMA_10040	KLMA_10040	MissingGeneType
KLMA_10041	KLMA_10041	MissingGeneType
KLMA_10043	KLMA_10043	MissingGeneType
KLMA_10044	KLMA_10044	MissingGeneType
KLMA_10045	KLMA_10045	MissingGeneType
KLMA_10046	KLMA_10046	MissingGeneType
KLMA_10047	KLMA_10047	MissingGeneType
KLMA_10048	KLMA_10048	MissingGeneType
KLMA_10049	KLMA_10049	MissingGeneType
KLMA_10050	KLMA_10050	MissingGeneType
KLMA_10051	KLMA_10051	MissingGeneType
KLMA_10052	KLMA_10052	MissingGeneType
KLMA_10053	KLMA_10053	MissingGeneType
KLMA_10054	KLMA_10054	MissingGeneType
KLMA_10055	KLMA_10055	MissingGeneType
KLMA_10056	KLMA_10056	MissingGeneType
KLMA_10057	KLMA_10057	MissingGeneType
KLMA_10058	KLMA_10058	MissingGeneType
KLMA_10059	KLMA_10059	MissingGeneType
KLMA_10060	KLMA_10060	MissingGeneType
KLMA_10061	KLMA_10061	MissingGeneType
KLMA_10062	KLMA_10062	MissingGeneType
KLMA_10063	KLMA_10063	MissingGeneType
KLMA_10064	KLMA_10064	MissingGeneType
KLMA_10065	KLMA_10065	MissingGeneType
KLMA_10066	KLMA_10066	MissingGeneType
KLMA_10067	KLMA_10067	MissingGeneType
KLMA_10068	KLMA_10068	MissingGeneType
KLMA_10069	KLMA_10069	MissingGeneType
KLMA_10070	KLMA_10070	MissingGeneType
KLMA_10071	KLMA_10071	MissingGeneType
KLMA_10072	KLMA_10072	MissingGeneType
KLMA_10073	KLMA_10073	MissingGeneType
KLMA_10074	KLMA_10074	MissingGeneType
KLMA_10075	KLMA_10075	MissingGeneType
KLMA_10076	KLMA_10076	MissingGeneType
KLMA_10077	KLMA_10077	MissingGeneType
KLMA_10078	KLMA_10078	MissingGeneType
KLMA_10079	KLMA_10079	MissingGeneType
KLMA_10080	KLMA_10080	MissingGeneType
KLMA_10081	KLMA_10081	MissingGeneType
KLMA_10082	KLMA_10082	MissingGeneType
KLMA_10083	KLMA_10083	MissingGeneType
KLMA_10084	KLMA_10084	MissingGeneType
KLMA_10085	KLMA_10085	MissingGeneType
KLMA_10086	KLMA_10086	MissingGeneType
