ORF	Counts	Sample
KLMA_10233	783	SK10
KLMA_10234	1746	SK10
KLMA_10235	3569	SK10
KLMA_10236	947	SK10
KLMA_10237	36283	SK10
KLMA_10238	6731	SK10
KLMA_10239	2	SK10
KLMA_10240	1668	SK10
KLMA_10241	245	SK10
KLMA_10242	113	SK10
KLMA_10243	313	SK10
KLMA_10244	29080	SK10
KLMA_10245	3421	SK10
KLMA_10246	163	SK10
KLMA_10247	2249	SK10
KLMA_10248	1102	SK10
KLMA_10249	1171	SK10
KLMA_10250	2401	SK10
KLMA_10251	419	SK10
KLMA_10252	575	SK10
KLMA_10253	6032	SK10
KLMA_10255	503	SK10
KLMA_10256	140	SK10
KLMA_10257	1063	SK10
KLMA_10258	296	SK10
KLMA_10259	2716	SK10
KLMA_10260	11802	SK10
KLMA_10261	568	SK10
KLMA_10262	171	SK10
KLMA_10263	696	SK10
KLMA_10265	328	SK10
KLMA_10266	494	SK10
KLMA_10267	2643	SK10
KLMA_10268	2248	SK10
KLMA_10269	1405	SK10
KLMA_10270	658	SK10
KLMA_10271	689	SK10
KLMA_10272	2678	SK10
KLMA_10273	593	SK10
KLMA_10274	892	SK10
KLMA_10275	949	SK10
KLMA_10276	424	SK10
KLMA_10277	552	SK10
KLMA_10278	371	SK10
KLMA_10279	1097	SK10
KLMA_10280	630	SK10
KLMA_10281	165	SK10
KLMA_10282	439	SK10
KLMA_10283	346	SK10
KLMA_10284	173	SK10
KLMA_10285	342	SK10
KLMA_10286	3425	SK10
KLMA_10289	214	SK10
KLMA_10290	1753	SK10
KLMA_10292	2675	SK10
KLMA_10293	450	SK10
KLMA_10294	8268	SK10
KLMA_10295	466	SK10
KLMA_10296	32714	SK10
KLMA_10297	152	SK10
KLMA_10298	189	SK10
KLMA_10299	219	SK10
KLMA_10300	1097	SK10
KLMA_10301	362	SK10
KLMA_10302	371	SK10
KLMA_10303	276	SK10
KLMA_10304	523	SK10
KLMA_10305	6091	SK10
KLMA_10306	966	SK10
KLMA_10307	541	SK10
KLMA_10308	174	SK10
KLMA_10309	139	SK10
KLMA_10310	622	SK10
KLMA_10311	531	SK10
KLMA_10312	317	SK10
KLMA_10313	1301	SK10
KLMA_10314	1280	SK10
KLMA_10315	397	SK10
KLMA_10316	212	SK10
KLMA_10317	8027	SK10
KLMA_10318	1360	SK10
KLMA_10319	346	SK10
KLMA_10320	4119	SK10
KLMA_10321	282	SK10
KLMA_10322	2615	SK10
KLMA_10323	258	SK10
KLMA_10324	505	SK10
KLMA_10325	165	SK10
KLMA_10326	357	SK10
KLMA_10327	280	SK10
KLMA_10328	186	SK10
KLMA_10329	652	SK10
KLMA_10330	804	SK10
KLMA_10331	3492	SK10
KLMA_10332	689	SK10
KLMA_10333	1682	SK10
KLMA_10334	291	SK10
KLMA_10336	3321	SK10
KLMA_10338	193	SK10
KLMA_10339	4532	SK10
KLMA_10341	85832	SK10
KLMA_10342	850	SK10
KLMA_10343	271	SK10
KLMA_10344	179	SK10
KLMA_10345	243	SK10
KLMA_10346	11	SK10
KLMA_10347	802	SK10
KLMA_10348	38045	SK10
KLMA_10349	214	SK10
KLMA_10350	611	SK10
KLMA_10351	898	SK10
KLMA_10352	653	SK10
KLMA_10353	1062	SK10
KLMA_10355	781	SK10
KLMA_10356	1501	SK10
KLMA_10357	544	SK10
KLMA_10358	866	SK10
KLMA_10359	1565	SK10
KLMA_10360	1001	SK10
KLMA_10361	479	SK10
KLMA_10362	91	SK10
KLMA_10363	1217	SK10
KLMA_10364	1526	SK10
KLMA_10365	1309	SK10
KLMA_10366	260	SK10
KLMA_10367	224	SK10
KLMA_10368	6390	SK10
KLMA_10369	756	SK10
KLMA_10370	315	SK10
KLMA_10371	3477	SK10
KLMA_10372	1018	SK10
KLMA_10373	534	SK10
KLMA_10374	697	SK10
KLMA_10375	1117	SK10
KLMA_10376	57333	SK10
KLMA_10378	2277	SK10
KLMA_10379	1368	SK10
KLMA_10380	1880	SK10
KLMA_10381	465	SK10
KLMA_10382	301	SK10
KLMA_10383	822	SK10
KLMA_10384	1274	SK10
KLMA_10385	1036	SK10
KLMA_10386	221	SK10
KLMA_10387	212	SK10
KLMA_10388	999	SK10
KLMA_10389	9281	SK10
KLMA_10390	2392	SK10
KLMA_10391	417	SK10
KLMA_10392	574	SK10
KLMA_10393	72	SK10
KLMA_10394	117	SK10
KLMA_10395	365	SK10
KLMA_10396	274	SK10
KLMA_10397	258	SK10
KLMA_10398	94	SK10
KLMA_10399	409	SK10
KLMA_10400	1414	SK10
KLMA_10401	41	SK10
KLMA_10402	790	SK10
KLMA_10403	684	SK10
KLMA_10404	886	SK10
KLMA_10405	341	SK10
KLMA_10406	302	SK10
KLMA_10407	67	SK10
KLMA_10408	428	SK10
KLMA_10409	349	SK10
KLMA_10410	970	SK10
KLMA_10411	48	SK10
KLMA_10412	2256	SK10
KLMA_10413	527	SK10
KLMA_10414	384	SK10
KLMA_10415	250	SK10
KLMA_10416	119	SK10
KLMA_10417	1216	SK10
KLMA_10418	462	SK10
KLMA_10419	2219	SK10
KLMA_10420	618	SK10
KLMA_10421	430	SK10
KLMA_10422	529	SK10
KLMA_10423	0	SK10
KLMA_10424	7790	SK10
KLMA_10425	746	SK10
KLMA_10426	290	SK10
KLMA_10427	184	SK10
KLMA_10428	2104	SK10
KLMA_10429	2058	SK10
KLMA_10430	125	SK10
KLMA_10431	3724	SK10
KLMA_10432	311	SK10
KLMA_10433	4051	SK10
KLMA_10434	4260	SK10
KLMA_10435	2443	SK10
KLMA_10436	2777	SK10
KLMA_10437	4226	SK10
KLMA_10438	1639	SK10
KLMA_10439	330	SK10
KLMA_10440	1684	SK10
KLMA_10441	1745	SK10
KLMA_10442	2194	SK10
KLMA_10443	65	SK10
KLMA_10444	1911	SK10
KLMA_10445	341	SK10
KLMA_10446	2908	SK10
KLMA_10448	3138	SK10
KLMA_10449	451	SK10
KLMA_10450	206	SK10
KLMA_10451	704	SK10
KLMA_10452	231	SK10
KLMA_10453	616	SK10
KLMA_10454	856	SK10
KLMA_10456	145	SK10
KLMA_10457	51885	SK10
KLMA_10458	231243	SK10
KLMA_10459	1954	SK10
KLMA_10460	486	SK10
KLMA_10461	161	SK10
KLMA_10462	735539	SK10
KLMA_10463	376	SK10
KLMA_10464	101	SK10
KLMA_10465	533	SK10
KLMA_10466	1297	SK10
KLMA_10467	73	SK10
KLMA_10468	36087	SK10
KLMA_10469	71	SK10
