ORF	Counts	Sample
KLMA_80052	6511	SK10
KLMA_80053	658	SK10
KLMA_80054	4458	SK10
KLMA_80056	104	SK10
KLMA_80057	2583	SK10
KLMA_80058	108	SK10
KLMA_80059	1015324	SK10
KLMA_80060	117	SK10
KLMA_80061	1029	SK10
KLMA_80062	173	SK10
KLMA_80063	854	SK10
KLMA_80064	2264	SK10
KLMA_80065	1554	SK10
KLMA_80066	634	SK10
KLMA_80067	910	SK10
KLMA_80068	25	SK10
KLMA_80069	174	SK10
KLMA_80071	647	SK10
KLMA_80072	192	SK10
KLMA_80073	26	SK10
KLMA_80074	440	SK10
KLMA_80075	132	SK10
KLMA_80077	832	SK10
KLMA_80078	141	SK10
KLMA_80079	69	SK10
KLMA_80080	484	SK10
KLMA_80081	896	SK10
KLMA_80082	23	SK10
KLMA_80083	339	SK10
KLMA_80084	792	SK10
KLMA_80085	163	SK10
KLMA_80086	620	SK10
KLMA_80087	1103	SK10
KLMA_80088	62	SK10
KLMA_80089	451	SK10
KLMA_80090	753	SK10
KLMA_80091	868	SK10
KLMA_80092	93	SK10
KLMA_80093	1178	SK10
KLMA_80094	29	SK10
KLMA_80095	310	SK10
KLMA_80096	35016	SK10
KLMA_80098	1169	SK10
KLMA_80099	3593	SK10
KLMA_80100	764	SK10
KLMA_80101	13	SK10
KLMA_80102	1471	SK10
KLMA_80103	794	SK10
KLMA_80104	841	SK10
KLMA_80105	166	SK10
KLMA_80106	90	SK10
KLMA_80107	181	SK10
KLMA_80108	1163	SK10
KLMA_80109	801	SK10
KLMA_80110	410	SK10
KLMA_80111	1855	SK10
KLMA_80112	3012	SK10
KLMA_80113	952	SK10
KLMA_80114	297	SK10
KLMA_80115	709	SK10
KLMA_80116	877	SK10
KLMA_80117	310	SK10
KLMA_80118	9123	SK10
KLMA_80119	9641	SK10
KLMA_80120	729	SK10
KLMA_80121	353	SK10
KLMA_80122	611	SK10
KLMA_80123	50	SK10
KLMA_80124	814	SK10
KLMA_80125	357	SK10
KLMA_80126	275	SK10
KLMA_80127	1089	SK10
KLMA_80128	776	SK10
KLMA_80129	312	SK10
KLMA_80130	4214	SK10
KLMA_80131	153	SK10
KLMA_80132	770	SK10
KLMA_80133	626	SK10
KLMA_80134	188	SK10
KLMA_80135	515	SK10
KLMA_80136	41	SK10
KLMA_80137	156	SK10
KLMA_80138	408	SK10
KLMA_80139	2234	SK10
KLMA_80140	345	SK10
KLMA_80141	129	SK10
KLMA_80142	87	SK10
KLMA_80143	603	SK10
KLMA_80144	730	SK10
KLMA_80145	145	SK10
KLMA_80146	105	SK10
KLMA_80147	315	SK10
KLMA_80148	618	SK10
KLMA_80149	1820	SK10
KLMA_80150	2635	SK10
KLMA_80151	559	SK10
KLMA_80152	1489	SK10
KLMA_80153	4991	SK10
KLMA_80154	120	SK10
KLMA_80155	5163	SK10
KLMA_80156	894	SK10
KLMA_80157	607	SK10
KLMA_80158	303	SK10
KLMA_80159	2964	SK10
KLMA_80160	1285	SK10
KLMA_80161	686	SK10
KLMA_80162	860	SK10
KLMA_80163	25925	SK10
KLMA_80164	1106	SK10
KLMA_80165	3339	SK10
KLMA_80166	553	SK10
KLMA_80167	1168	SK10
KLMA_80168	1824	SK10
KLMA_80169	665	SK10
KLMA_80170	999	SK10
KLMA_80171	254	SK10
KLMA_80172	37	SK10
KLMA_80173	2140	SK10
KLMA_80174	2698	SK10
KLMA_80175	213	SK10
KLMA_80176	264	SK10
KLMA_80177	1124	SK10
KLMA_80178	673	SK10
KLMA_80179	696	SK10
KLMA_80180	110	SK10
KLMA_80181	4484	SK10
KLMA_80182	2594	SK10
KLMA_80183	2514	SK10
KLMA_80184	354	SK10
KLMA_80185	19124	SK10
KLMA_80186	7836	SK10
KLMA_80187	5230	SK10
KLMA_80188	990	SK10
KLMA_80189	633	SK10
KLMA_80190	464	SK10
KLMA_80191	1	SK10
KLMA_80192	2	SK10
KLMA_80193	3205	SK10
KLMA_80194	170	SK10
KLMA_80195	227	SK10
KLMA_80196	24900	SK10
KLMA_80197	65	SK10
KLMA_80198	20012	SK10
KLMA_80199	329	SK10
KLMA_80200	419	SK10
KLMA_80201	946	SK10
KLMA_80202	1041	SK10
KLMA_80203	2204	SK10
KLMA_80204	716	SK10
KLMA_80205	161	SK10
KLMA_80206	3470	SK10
KLMA_80207	1980	SK10
KLMA_80208	649	SK10
KLMA_80209	1319	SK10
KLMA_80210	492	SK10
KLMA_80211	300	SK10
KLMA_80212	1656	SK10
KLMA_80213	1517	SK10
KLMA_80214	1710	SK10
KLMA_80216	2303	SK10
KLMA_80217	2931	SK10
KLMA_80219	432	SK10
KLMA_80220	198	SK10
KLMA_80221	257	SK10
KLMA_80222	62819	SK10
KLMA_80223	101	SK10
KLMA_80224	876	SK10
KLMA_80225	1144	SK10
KLMA_80226	3	SK10
KLMA_80227	1297	SK10
KLMA_80228	1940	SK10
KLMA_80229	732	SK10
KLMA_80230	698	SK10
KLMA_80231	935	SK10
KLMA_80232	699	SK10
KLMA_80233	469	SK10
KLMA_80234	398	SK10
KLMA_80235	583	SK10
KLMA_80236	3301	SK10
KLMA_80237	759	SK10
KLMA_80238	641	SK10
KLMA_80239	1038	SK10
KLMA_80240	3486	SK10
KLMA_80241	2735	SK10
KLMA_80242	2874	SK10
KLMA_80243	3600	SK10
KLMA_80244	1187	SK10
KLMA_80245	1186	SK10
KLMA_80246	2557	SK10
KLMA_80247	167	SK10
KLMA_80248	419	SK10
KLMA_80249	5725	SK10
KLMA_80250	275	SK10
KLMA_80252	1491	SK10
KLMA_80253	645	SK10
KLMA_80254	1483	SK10
KLMA_80255	796	SK10
KLMA_80256	24255	SK10
KLMA_80257	8663	SK10
KLMA_80258	1365	SK10
KLMA_80259	125	SK10
KLMA_80260	4672	SK10
KLMA_80261	2751	SK10
KLMA_80262	573	SK10
KLMA_80263	272	SK10
KLMA_80264	921	SK10
KLMA_80265	1309	SK10
KLMA_80266	47	SK10
KLMA_80267	833	SK10
KLMA_80268	379	SK10
KLMA_80269	453	SK10
KLMA_80270	1232	SK10
KLMA_80271	650	SK10
KLMA_80272	670	SK10
KLMA_80273	691	SK10
KLMA_80274	640	SK10
KLMA_80275	23	SK10
KLMA_80276	3177	SK10
KLMA_80277	485	SK10
KLMA_80278	1259	SK10
KLMA_80279	376	SK10
KLMA_80280	3199	SK10
KLMA_80281	1539	SK10
KLMA_80282	532	SK10
KLMA_80284	6773	SK10
KLMA_80285	6718	SK10
KLMA_80286	59	SK10
KLMA_80287	139	SK10
KLMA_80288	260	SK10
KLMA_80289	1189	SK10
KLMA_80290	3309	SK10
KLMA_80292	663	SK10
KLMA_80293	124	SK10
KLMA_80294	3686	SK10
KLMA_80295	935	SK10
KLMA_80296	1819	SK10
KLMA_80297	2565	SK10
KLMA_80298	252	SK10
KLMA_80299	891	SK10
KLMA_80300	1555	SK10
KLMA_80301	1076	SK10
KLMA_80302	23694	SK10
KLMA_80303	1260	SK10
KLMA_80304	27	SK10
KLMA_80305	102	SK10
KLMA_80306	141	SK10
KLMA_80307	3	SK10
KLMA_80308	303	SK10
KLMA_80309	284042	SK10
KLMA_80310	571	SK10
KLMA_80311	513	SK10
KLMA_80312	10041	SK10
KLMA_80313	125	SK10
KLMA_80314	748	SK10
KLMA_80315	616	SK10
KLMA_80316	1169	SK10
KLMA_80317	12171	SK10
KLMA_80318	294	SK10
KLMA_80319	344	SK10
KLMA_80320	1145	SK10
KLMA_80321	711	SK10
KLMA_80322	2169	SK10
KLMA_80323	437	SK10
KLMA_80324	448	SK10
KLMA_80325	3464	SK10
KLMA_80326	110	SK10
KLMA_80327	697	SK10
KLMA_80328	872	SK10
KLMA_80329	128	SK10
KLMA_80330	98	SK10
KLMA_80331	374	SK10
KLMA_80332	958	SK10
KLMA_80333	135	SK10
KLMA_80334	1856	SK10
KLMA_80335	1791	SK10
KLMA_80336	490	SK10
KLMA_80337	2346	SK10
KLMA_80338	3449	SK10
KLMA_80339	753	SK10
KLMA_80340	550	SK10
KLMA_80341	561	SK10
KLMA_80342	1026	SK10
KLMA_80343	3354	SK10
KLMA_80344	4195	SK10
KLMA_80345	1429	SK10
KLMA_80346	937	SK10
KLMA_80348	21014	SK10
KLMA_80349	440	SK10
KLMA_80350	1443	SK10
KLMA_80351	152	SK10
KLMA_80353	562	SK10
KLMA_80354	2097	SK10
KLMA_80355	236	SK10
KLMA_80356	810	SK10
KLMA_80357	402	SK10
KLMA_80358	4627	SK10
KLMA_80359	1314	SK10
KLMA_80360	605	SK10
KLMA_80361	1959	SK10
KLMA_80362	1912	SK10
KLMA_80363	2871	SK10
KLMA_80364	384	SK10
KLMA_80365	68136	SK10
KLMA_80366	60	SK10
KLMA_80367	3154	SK10
KLMA_80369	6480	SK10
KLMA_80371	298	SK10
KLMA_80372	339	SK10
KLMA_80373	1848	SK10
KLMA_80374	1	SK10
KLMA_80375	473	SK10
KLMA_80376	316	SK10
KLMA_80377	894	SK10
KLMA_80378	586	SK10
KLMA_80379	397	SK10
KLMA_80380	1579	SK10
KLMA_80381	1052	SK10
KLMA_80382	1198	SK10
KLMA_80383	773	SK10
KLMA_80384	563	SK10
KLMA_80385	1429	SK10
KLMA_80386	387	SK10
KLMA_80387	388	SK10
KLMA_80389	161	SK10
KLMA_80390	1094	SK10
KLMA_80391	390	SK10
KLMA_80392	6337	SK10
KLMA_80393	541	SK10
KLMA_80394	4291	SK10
KLMA_80395	1276	SK10
KLMA_80396	359	SK10
KLMA_80397	167	SK10
KLMA_80398	434	SK10
KLMA_80399	869	SK10
KLMA_80400	476	SK10
KLMA_80401	4206	SK10
KLMA_80402	1092	SK10
KLMA_80403	862	SK10
KLMA_80404	467	SK10
KLMA_80405	3751	SK10
KLMA_80406	1849	SK10
KLMA_80407	910	SK10
KLMA_80408	4221	SK10
KLMA_80409	87	SK10
KLMA_80410	841	SK10
KLMA_80411	459	SK10
KLMA_80412	27	SK10
KLMA_80413	32230	SK10
KLMA_80414	11761	SK10
KLMA_80415	1194	SK10
KLMA_80416	101	SK10
KLMA_80417	13463	SK10
KLMA_80418	2110	SK10
KLMA_80419	57	SK10
KLMA_80421	71	SK10
KLMA_80422	0	SK10
KLMA_80423	29	SK10
KLMA_80424	0	SK10
KLMA_80425	0	SK10
KLMA_80426	687	SK10
KLMA_80427	894	SK10
KLMA_80428	679	SK10
KLMA_80429	0	SK10
KLMA_90001	0	SK10
KLMA_90002	4	SK10
KLMA_90003	83	SK10
KLMA_90004	24	SK10
KLMA_90005	0	SK10
KLMA_90006	2	SK10
KLMA_90007	0	SK10
KLMA_90009	0	SK10
KLMA_90010	4	SK10
KLMA_90011	13	SK10
KLMA_90012	5	SK10
__no_feature	1422524	SK10
__ambiguous	82337	SK10
__too_low_aQual	0	SK10
__not_aligned	0	SK10
__alignment_not_unique	302923	SK10
KLMA_10001	1580	SK11
KLMA_10002	45	SK11
KLMA_10003	7	SK11
KLMA_10004	212	SK11
KLMA_10005	299	SK11
KLMA_10006	32	SK11
KLMA_10007	143	SK11
KLMA_10008	75	SK11
KLMA_10009	95	SK11
KLMA_10010	259	SK11
KLMA_10011	191	SK11
KLMA_10012	245	SK11
KLMA_10013	48	SK11
KLMA_10014	117	SK11
KLMA_10015	178	SK11
KLMA_10016	380	SK11
KLMA_10017	145	SK11
KLMA_10018	238	SK11
KLMA_10019	1	SK11
KLMA_10020	106	SK11
KLMA_10021	518	SK11
KLMA_10022	1768	SK11
KLMA_10023	1283	SK11
KLMA_10024	1056	SK11
KLMA_10025	1468	SK11
KLMA_10026	307	SK11
KLMA_10027	4503	SK11
KLMA_10028	836	SK11
KLMA_10029	184	SK11
KLMA_10030	248	SK11
KLMA_10031	202	SK11
KLMA_10032	1351	SK11
KLMA_10033	6003	SK11
KLMA_10034	4981	SK11
KLMA_10035	35252	SK11
KLMA_10036	288	SK11
KLMA_10037	311	SK11
KLMA_10038	1083	SK11
KLMA_10039	1160	SK11
KLMA_10040	70447	SK11
KLMA_10041	199	SK11
KLMA_10043	214	SK11
KLMA_10044	309	SK11
KLMA_10045	642	SK11
KLMA_10046	458	SK11
KLMA_10047	880	SK11
KLMA_10048	6180	SK11
KLMA_10049	30330	SK11
KLMA_10050	736	SK11
KLMA_10051	211	SK11
KLMA_10052	1119	SK11
KLMA_10053	265	SK11
KLMA_10054	723	SK11
KLMA_10055	329	SK11
KLMA_10056	557	SK11
KLMA_10057	1678	SK11
KLMA_10058	11589	SK11
KLMA_10059	1939	SK11
KLMA_10060	130	SK11
KLMA_10061	271	SK11
KLMA_10062	1022	SK11
KLMA_10063	1312	SK11
KLMA_10064	2689	SK11
KLMA_10065	1119	SK11
KLMA_10066	525	SK11
KLMA_10067	2322	SK11
KLMA_10068	215	SK11
KLMA_10069	2844	SK11
KLMA_10070	341	SK11
KLMA_10071	910	SK11
KLMA_10072	2431	SK11
KLMA_10073	690	SK11
KLMA_10074	184	SK11
KLMA_10075	183	SK11
KLMA_10076	527	SK11
KLMA_10077	518	SK11
KLMA_10078	163	SK11
KLMA_10079	2844	SK11
KLMA_10080	249	SK11
KLMA_10081	429	SK11
KLMA_10082	307	SK11
KLMA_10083	16685	SK11
KLMA_10084	426	SK11
KLMA_10085	933	SK11
KLMA_10086	40	SK11
KLMA_10088	329	SK11
KLMA_10089	1382	SK11
KLMA_10090	303	SK11
KLMA_10091	253	SK11
KLMA_10092	1678	SK11
KLMA_10093	422	SK11
KLMA_10094	1664	SK11
KLMA_10095	205	SK11
KLMA_10096	1635	SK11
KLMA_10097	965	SK11
KLMA_10098	818	SK11
KLMA_10099	1116	SK11
KLMA_10100	100	SK11
KLMA_10101	515	SK11
KLMA_10102	138	SK11
KLMA_10103	1489	SK11
KLMA_10104	1319	SK11
KLMA_10106	986	SK11
KLMA_10107	1073	SK11
KLMA_10108	1395	SK11
KLMA_10109	540	SK11
KLMA_10110	753	SK11
KLMA_10111	400	SK11
KLMA_10112	1602	SK11
KLMA_10113	443	SK11
KLMA_10114	809	SK11
KLMA_10115	518	SK11
KLMA_10116	616	SK11
KLMA_10117	303	SK11
KLMA_10118	679	SK11
KLMA_10119	389	SK11
KLMA_10120	186	SK11
KLMA_10121	1474	SK11
KLMA_10122	1373	SK11
KLMA_10123	1239	SK11
KLMA_10124	305	SK11
KLMA_10125	879	SK11
KLMA_10126	364	SK11
KLMA_10127	3214	SK11
KLMA_10128	267	SK11
KLMA_10129	380	SK11
KLMA_10130	1591	SK11
KLMA_10131	446	SK11
KLMA_10132	507	SK11
KLMA_10133	441	SK11
KLMA_10134	560	SK11
KLMA_10135	132	SK11
KLMA_10136	375	SK11
KLMA_10137	916	SK11
KLMA_10138	902	SK11
KLMA_10139	543	SK11
KLMA_10140	9687	SK11
KLMA_10141	968	SK11
KLMA_10142	1	SK11
KLMA_10143	2	SK11
KLMA_10144	400	SK11
KLMA_10145	605	SK11
KLMA_10146	555	SK11
KLMA_10147	146	SK11
KLMA_10148	728	SK11
KLMA_10149	425	SK11
KLMA_10150	565	SK11
KLMA_10151	110	SK11
KLMA_10152	778	SK11
KLMA_10153	148	SK11
KLMA_10155	592	SK11
KLMA_10156	328	SK11
KLMA_10157	422	SK11
KLMA_10158	430	SK11
KLMA_10159	553	SK11
KLMA_10160	1573	SK11
KLMA_10161	160	SK11
KLMA_10162	823	SK11
KLMA_10163	405	SK11
KLMA_10164	397	SK11
KLMA_10165	207	SK11
KLMA_10166	309	SK11
KLMA_10167	370	SK11
KLMA_10168	318	SK11
KLMA_10169	91	SK11
KLMA_10170	133	SK11
KLMA_10171	361	SK11
KLMA_10172	624	SK11
KLMA_10173	1696	SK11
KLMA_10174	586	SK11
KLMA_10175	557	SK11
KLMA_10176	754	SK11
KLMA_10177	347	SK11
KLMA_10178	732	SK11
KLMA_10179	16930	SK11
KLMA_10180	451	SK11
KLMA_10181	1052	SK11
KLMA_10182	8115	SK11
KLMA_10183	5573	SK11
KLMA_10184	1103	SK11
KLMA_10185	1445	SK11
KLMA_10186	191	SK11
KLMA_10187	420	SK11
KLMA_10188	264	SK11
KLMA_10189	1902	SK11
KLMA_10190	250	SK11
KLMA_10191	847	SK11
KLMA_10192	114	SK11
KLMA_10194	248	SK11
KLMA_10195	351	SK11
KLMA_10196	1269	SK11
KLMA_10197	659	SK11
KLMA_10199	1907	SK11
KLMA_10201	555	SK11
KLMA_10202	528	SK11
KLMA_10203	2447	SK11
KLMA_10204	180	SK11
KLMA_10206	260	SK11
KLMA_10207	120	SK11
KLMA_10208	111	SK11
KLMA_10209	1111	SK11
KLMA_10210	651	SK11
KLMA_10211	672	SK11
KLMA_10212	568	SK11
KLMA_10213	345	SK11
KLMA_10214	73	SK11
KLMA_10215	173	SK11
KLMA_10216	202	SK11
KLMA_10217	631	SK11
KLMA_10218	220	SK11
KLMA_10220	658	SK11
KLMA_10221	134	SK11
KLMA_10222	402	SK11
KLMA_10223	118	SK11
KLMA_10224	688	SK11
KLMA_10225	10354	SK11
KLMA_10226	274	SK11
KLMA_10227	4295	SK11
KLMA_10228	324	SK11
KLMA_10229	4034	SK11
KLMA_10231	218	SK11
KLMA_10232	823	SK11
KLMA_10233	1064	SK11
KLMA_10234	389	SK11
KLMA_10235	20544	SK11
KLMA_10236	1289	SK11
KLMA_10237	5792	SK11
KLMA_10238	1925	SK11
KLMA_10239	35	SK11
KLMA_10240	1570	SK11
KLMA_10241	194	SK11
KLMA_10242	138	SK11
KLMA_10243	107	SK11
KLMA_10244	1479	SK11
KLMA_10245	1452	SK11
KLMA_10246	188	SK11
KLMA_10247	1591	SK11
KLMA_10248	333	SK11
KLMA_10249	537	SK11
KLMA_10250	1198	SK11
KLMA_10251	240	SK11
KLMA_10252	611	SK11
KLMA_10253	1243	SK11
KLMA_10255	291	SK11
KLMA_10256	118	SK11
KLMA_10257	3229	SK11
KLMA_10258	1271	SK11
KLMA_10259	2770	SK11
KLMA_10260	1635	SK11
KLMA_10261	505	SK11
KLMA_10262	167	SK11
KLMA_10263	764	SK11
KLMA_10265	271	SK11
KLMA_10266	165	SK11
KLMA_10267	1531	SK11
KLMA_10268	40827	SK11
KLMA_10269	3712	SK11
KLMA_10270	372	SK11
KLMA_10271	341	SK11
KLMA_10272	3237	SK11
KLMA_10273	449	SK11
KLMA_10274	816	SK11
KLMA_10275	380	SK11
KLMA_10276	336	SK11
KLMA_10277	220	SK11
KLMA_10278	1531	SK11
KLMA_10279	1321	SK11
KLMA_10280	268	SK11
KLMA_10281	68	SK11
KLMA_10282	130	SK11
KLMA_10283	764	SK11
KLMA_10284	357	SK11
KLMA_10285	728	SK11
KLMA_10286	4652	SK11
KLMA_10289	1591	SK11
KLMA_10290	924	SK11
KLMA_10292	3023	SK11
KLMA_10293	277	SK11
KLMA_10294	1947	SK11
KLMA_10295	476	SK11
KLMA_10296	14955	SK11
KLMA_10297	424	SK11
KLMA_10298	594	SK11
KLMA_10299	326	SK11
KLMA_10300	397	SK11
KLMA_10301	646	SK11
KLMA_10302	242	SK11
KLMA_10303	373	SK11
KLMA_10304	629	SK11
KLMA_10305	2148	SK11
KLMA_10306	747	SK11
KLMA_10307	622	SK11
KLMA_10308	55	SK11
KLMA_10309	237	SK11
KLMA_10310	364	SK11
KLMA_10311	176	SK11
KLMA_10312	147	SK11
KLMA_10313	437	SK11
KLMA_10314	1153	SK11
KLMA_10315	271	SK11
KLMA_10316	157	SK11
KLMA_10317	3299	SK11
KLMA_10318	950	SK11
KLMA_10319	357	SK11
KLMA_10320	6056	SK11
KLMA_10321	4802	SK11
KLMA_10322	2515	SK11
KLMA_10323	245	SK11
KLMA_10324	350	SK11
KLMA_10325	247	SK11
KLMA_10326	1037	SK11
KLMA_10327	288	SK11
KLMA_10328	827	SK11
KLMA_10329	1387	SK11
KLMA_10330	2039	SK11
KLMA_10331	1691	SK11
KLMA_10332	208	SK11
KLMA_10333	1499	SK11
KLMA_10334	326	SK11
KLMA_10336	2529	SK11
KLMA_10338	177	SK11
KLMA_10339	1884	SK11
KLMA_10341	68120	SK11
KLMA_10342	571	SK11
KLMA_10343	1445	SK11
KLMA_10344	402	SK11
KLMA_10345	134	SK11
KLMA_10346	107	SK11
KLMA_10347	605	SK11
KLMA_10348	28353	SK11
KLMA_10349	218	SK11
KLMA_10350	961	SK11
KLMA_10351	566	SK11
KLMA_10352	675	SK11
KLMA_10353	1134	SK11
KLMA_10355	77825	SK11
KLMA_10356	1443	SK11
KLMA_10357	304	SK11
KLMA_10358	681	SK11
KLMA_10359	2553	SK11
KLMA_10360	943	SK11
KLMA_10361	335	SK11
KLMA_10362	390	SK11
KLMA_10363	876	SK11
KLMA_10364	1953	SK11
KLMA_10365	923	SK11
KLMA_10366	95	SK11
KLMA_10367	196	SK11
KLMA_10368	2741	SK11
KLMA_10369	415	SK11
KLMA_10370	512	SK11
KLMA_10371	2196	SK11
KLMA_10372	332	SK11
KLMA_10373	610	SK11
KLMA_10374	292	SK11
KLMA_10375	1006	SK11
KLMA_10376	24287	SK11
KLMA_10378	1190	SK11
KLMA_10379	2504	SK11
KLMA_10380	14674	SK11
KLMA_10381	213	SK11
KLMA_10382	36	SK11
KLMA_10383	307	SK11
KLMA_10384	1486	SK11
KLMA_10385	1067	SK11
KLMA_10386	580	SK11
KLMA_10387	249	SK11
KLMA_10388	446	SK11
KLMA_10389	2315	SK11
KLMA_10390	3767	SK11
KLMA_10391	610	SK11
KLMA_10392	737	SK11
KLMA_10393	89	SK11
KLMA_10394	216	SK11
KLMA_10395	302	SK11
KLMA_10396	250	SK11
KLMA_10397	338	SK11
KLMA_10398	210	SK11
KLMA_10399	276	SK11
KLMA_10400	746	SK11
KLMA_10401	117	SK11
KLMA_10402	798	SK11
KLMA_10403	334	SK11
KLMA_10404	256	SK11
KLMA_10405	107	SK11
KLMA_10406	194	SK11
KLMA_10407	136	SK11
KLMA_10408	383	SK11
KLMA_10409	544	SK11
KLMA_10410	978	SK11
KLMA_10411	95	SK11
KLMA_10412	773	SK11
KLMA_10413	527	SK11
KLMA_10414	75	SK11
KLMA_10415	182	SK11
KLMA_10416	194	SK11
KLMA_10417	703	SK11
KLMA_10418	535	SK11
KLMA_10419	2126	SK11
KLMA_10420	787	SK11
KLMA_10421	577	SK11
KLMA_10422	813	SK11
KLMA_10423	0	SK11
KLMA_10424	1309	SK11
KLMA_10425	667	SK11
KLMA_10426	196	SK11
KLMA_10427	199	SK11
KLMA_10428	1220	SK11
KLMA_10429	857	SK11
KLMA_10430	159	SK11
KLMA_10431	3132	SK11
KLMA_10432	386	SK11
KLMA_10433	258	SK11
KLMA_10434	2535	SK11
KLMA_10435	1435	SK11
KLMA_10436	830	SK11
KLMA_10437	987	SK11
KLMA_10438	384	SK11
KLMA_10439	700	SK11
KLMA_10440	2046	SK11
KLMA_10441	1455	SK11
KLMA_10442	1661	SK11
KLMA_10443	199	SK11
KLMA_10444	709	SK11
KLMA_10445	331	SK11
KLMA_10446	1573	SK11
KLMA_10448	1275	SK11
KLMA_10449	355	SK11
KLMA_10450	326	SK11
KLMA_10451	377	SK11
KLMA_10452	251	SK11
KLMA_10453	348	SK11
KLMA_10454	922	SK11
KLMA_10456	253	SK11
KLMA_10457	25682	SK11
KLMA_10458	141844	SK11
KLMA_10459	3439	SK11
KLMA_10460	946	SK11
KLMA_10461	782	SK11
KLMA_10462	469316	SK11
KLMA_10463	220	SK11
KLMA_10464	200	SK11
KLMA_10465	687	SK11
KLMA_10466	541	SK11
KLMA_10467	77	SK11
KLMA_10468	13178	SK11
KLMA_10469	183	SK11
KLMA_10471	659	SK11
KLMA_10472	39	SK11
KLMA_10473	380	SK11
KLMA_10475	4522	SK11
KLMA_10476	554	SK11
KLMA_10477	690	SK11
KLMA_10478	786	SK11
KLMA_10479	531	SK11
KLMA_10480	1034	SK11
KLMA_10481	341	SK11
KLMA_10482	314	SK11
KLMA_10483	3070	SK11
KLMA_10484	381	SK11
KLMA_10486	463	SK11
KLMA_10487	8457	SK11
KLMA_10488	76	SK11
KLMA_10489	2575	SK11
KLMA_10491	1190	SK11
KLMA_10493	566	SK11
KLMA_10494	365	SK11
KLMA_10495	623	SK11
KLMA_10496	113	SK11
KLMA_10497	938	SK11
KLMA_10498	1922	SK11
KLMA_10499	5300	SK11
KLMA_10500	4210	SK11
KLMA_10501	755	SK11
KLMA_10502	292	SK11
KLMA_10503	573	SK11
KLMA_10504	97	SK11
KLMA_10505	1030	SK11
KLMA_10506	439	SK11
KLMA_10507	1322	SK11
KLMA_10508	717	SK11
KLMA_10509	50	SK11
KLMA_10510	398	SK11
KLMA_10511	550	SK11
KLMA_10512	387	SK11
KLMA_10513	171	SK11
KLMA_10514	1937	SK11
KLMA_10515	342	SK11
KLMA_10516	339	SK11
KLMA_10517	1345	SK11
KLMA_10518	2074	SK11
KLMA_10519	89	SK11
KLMA_10520	15	SK11
KLMA_10521	153	SK11
KLMA_10522	711	SK11
KLMA_10523	200	SK11
KLMA_10524	4401	SK11
KLMA_10525	42	SK11
KLMA_10526	118	SK11
KLMA_10527	276	SK11
KLMA_10528	155	SK11
KLMA_10529	17	SK11
KLMA_10530	878	SK11
KLMA_10531	3163	SK11
KLMA_10532	365	SK11
KLMA_10533	391	SK11
KLMA_10534	1263	SK11
KLMA_10535	595	SK11
KLMA_10536	553	SK11
KLMA_10537	619	SK11
KLMA_10538	0	SK11
KLMA_10539	3075	SK11
KLMA_10540	550619	SK11
KLMA_10541	1443	SK11
KLMA_10542	43	SK11
KLMA_10543	192	SK11
KLMA_10544	128	SK11
KLMA_10545	15	SK11
KLMA_10546	101	SK11
KLMA_10547	52	SK11
KLMA_10548	985	SK11
KLMA_10549	351	SK11
KLMA_10550	2990	SK11
KLMA_10551	28	SK11
KLMA_10552	122	SK11
KLMA_10553	9868	SK11
KLMA_10554	72	SK11
KLMA_10555	6	SK11
KLMA_10556	470	SK11
KLMA_10557	153	SK11
KLMA_10558	2278	SK11
KLMA_10559	519	SK11
KLMA_10560	330	SK11
KLMA_10561	8113	SK11
KLMA_10562	178	SK11
KLMA_10563	389	SK11
KLMA_10564	371	SK11
KLMA_10565	508	SK11
KLMA_10566	346	SK11
KLMA_10567	116	SK11
KLMA_10568	347	SK11
KLMA_10569	1170	SK11
KLMA_10570	161	SK11
KLMA_10571	292	SK11
KLMA_10572	4360	SK11
KLMA_10573	1030	SK11
KLMA_10574	369	SK11
KLMA_10575	576	SK11
KLMA_10576	1110	SK11
KLMA_10577	2677	SK11
KLMA_10578	478	SK11
KLMA_10579	1315	SK11
KLMA_10580	187	SK11
KLMA_10581	647	SK11
KLMA_10582	1287	SK11
KLMA_10583	536	SK11
KLMA_10584	270	SK11
KLMA_10585	4657	SK11
KLMA_10586	341	SK11
KLMA_10587	2372	SK11
KLMA_10588	728	SK11
KLMA_10589	181	SK11
KLMA_10590	243	SK11
KLMA_10591	168	SK11
KLMA_10592	9147	SK11
KLMA_10593	40284	SK11
KLMA_10594	634	SK11
KLMA_10595	764	SK11
KLMA_10596	233	SK11
KLMA_10597	684	SK11
KLMA_10598	71	SK11
KLMA_10599	1553	SK11
KLMA_10600	309	SK11
KLMA_10601	64	SK11
KLMA_10602	145	SK11
KLMA_10603	271	SK11
KLMA_10604	8297	SK11
KLMA_10605	595	SK11
KLMA_10606	921	SK11
KLMA_10607	4304	SK11
KLMA_10608	911	SK11
KLMA_10609	1507	SK11
KLMA_10610	3191	SK11
KLMA_10611	119	SK11
KLMA_10612	529	SK11
KLMA_10613	1703	SK11
KLMA_10614	5951	SK11
KLMA_10615	523	SK11
KLMA_10616	1231	SK11
KLMA_10617	1132	SK11
KLMA_10618	615	SK11
KLMA_10619	509	SK11
KLMA_10620	763	SK11
KLMA_10621	517	SK11
KLMA_10622	249	SK11
KLMA_10623	2170	SK11
KLMA_10624	275	SK11
