orf	gene	DBD	Shown.DNA.binding	annotation.type	regulated.orf	regulated.gene	experimental.condition	regulation.direction	evidence.type
YHR084W	STE12	STE	1	high-throughput	YBR044C	TCM62	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YER064C	VHR2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YGL147C	RPL9A	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YGR055W	MUP1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YGR214W	RPS0A	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YHR203C	RPS4B	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YJR123W	RPS5	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YKL029C	MAE1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YLR142W	PUT1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YLR387C	REH1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YOR234C	RPL33B	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YOR302W	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YAL021C	CCR4	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YAL064C-A	TDA8	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YAR035W	YAT1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YBL022C	PIM1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YBL055C	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YBR033W	EDS1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YBR163W	EXO5	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YBR194W	AIM4	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YBR205W	KTR3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YBR214W	SDS24	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YBR273C	UBX7	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YBR285W	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YCR057C	PWP2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YCR072C	RSA4	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YCR075W-A	EGO2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YDL022W	GPD1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YDL124W	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YDL125C	HNT1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YDR034C	LYS14	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YDR236C	FMN1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YDR261C-C	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YDR302W	GPI11	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YDR320C-A	DAD4	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YDR418W	RPL12B	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YDR463W	STP1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YDR488C	PAC11	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YER004W	FMP52	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YER017C	AFG3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YER018C	SPC25	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YER035W	EDC2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YER040W	GLN3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YER083C	GET2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YER087C-B	SBH1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YER099C	PRS2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YER109C	FLO8	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YER157W	COG3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YER162C	RAD4	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YER164W	CHD1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YER165W	PAB1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YER175W-A	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YFL003C	MSH4	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YFL007W	BLM10	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YFR012W-A	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YFR031C-A	RPL2A	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YFR033C	QCR6	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YGL017W	ATE1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YGL018C	JAC1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YGL025C	PGD1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YGL062W	PYC1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YGL148W	ARO2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YGL153W	PEX14	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YGL200C	EMP24	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YGR062C	COX18	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YGR099W	TEL2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YGR113W	DAM1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YGR157W	CHO2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YGR214W	RPS0A	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YGR240C-A	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YHL015W-A	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YHL016C	DUR3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YHR009C	TDA3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YHR102W	KIC1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YHR163W	SOL3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YHR175W-A	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YIL047C	SYG1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YIL065C	FIS1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YIL085C	KTR7	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YJL077W-B	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YJL212C	OPT1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YJR013W	GPI14	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YJR017C	ESS1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YJR025C	BNA1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YJR112W-A	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YJR114W	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YKL020C	SPT23	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YKL171W	NNK1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YKL206C	ADD66	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YKR021W	ALY1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YLL010C	PSR1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YLR017W	MEU1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YLR046C	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YLR315W	NKP2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YLR357W	RSC2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YLR386W	VAC14	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YLR399C	BDF1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YLR406C	RPL31B	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YLR415C	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YMR107W	SPG4	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YMR116C	ASC1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YMR122W-A	NCW1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YMR275C	BUL1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YMR276W	DSK2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YMR315W-A	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YNL072W	RNH201	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YNL097C	PHO23	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YNL117W	MLS1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YNL153C	GIM3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YNL300W	TOS6	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YNR032C-A	HUB1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YNR035C	ARC35	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YNR039C	ZRG17	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YOL031C	SIL1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YOL052C-A	DDR2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YOL064C	MET22	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YOL142W	RRP40	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YOR138C	RUP1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YOR160W	MTR10	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YOR164C	GET4	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YOR196C	LIP5	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YOR320C	GNT1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YPR179C	HDA3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YBL071W-A	KTI11	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YBR133C	HSL7	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YCL004W	PGS1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YCR071C	IMG2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YDL042C	SIR2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YDL174C	DLD1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YDR046C	BAP3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YDR073W	SNF11	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YDR188W	CCT6	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YDR224C	HTB1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YDR443C	SSN2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YDR451C	YHP1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YDR487C	RIB3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YEL017C-A	PMP2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YEL017W	GTT3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YEL040W	UTR2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YER150W	SPI1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YER187W	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YFR029W	PTR3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YGL227W	VID30	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YGR043C	NQM1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YGR079W	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YGR111W	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YGR161C	RTS3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YGR161W-C	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YGR193C	PDX1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YHR019C	DED81	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YIL053W	GPP1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YIL095W	PRK1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YIL123W	SIM1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YIR035C	NRE1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YJL068C	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YJL159W	HSP150	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YJL179W	PFD1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YJL189W	RPL39	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YJL190C	RPS22A	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YJL194W	CDC6	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YJL196C	ELO1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YJR117W	STE24	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YJR123W	RPS5	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YKL007W	CAP1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YKL032C	IXR1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YKL103C	APE1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YLL012W	YEH1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YLR020C	YEH2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YLR099W-A	MIM2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YLR162W	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YML058W	SML1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YML083C	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YML100W	TSL1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YML101C	CUE4	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YMR105W-A	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YMR135C	GID8	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YMR212C	EFR3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YMR251W-A	HOR7	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YNL104C	LEU4	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YNL115C	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YNL173C	MDG1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YNL231C	PDR16	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YNL278W	CAF120	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YNL291C	MID1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YNL298W	CLA4	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YNL320W	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YOL011W	PLB3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YOL038C-A	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YOL113W	SKM1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YOL114C	PTH4	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YOL162W	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YOR078W	BUD21	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YOR273C	TPO4	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YPL015C	HST2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YPL019C	VTC3	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YPL111W	CAR1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YPL280W	HSP32	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YPR009W	SUT2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YPR015C	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YER111C	SWI4	APSES	1	high-throughput	YPR028W	YOP1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR206W	SKN7	HSF	1	high-throughput	YBL039C	URA7	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR206W	SKN7	HSF	1	high-throughput	YBL071C-B	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR206W	SKN7	HSF	1	high-throughput	YBR040W	FIG1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR206W	SKN7	HSF	1	high-throughput	YBR077C	SLM4	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR206W	SKN7	HSF	1	high-throughput	YBR126C	TPS1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR206W	SKN7	HSF	1	high-throughput	YCR012W	PGK1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR206W	SKN7	HSF	1	high-throughput	YDL049C	KNH1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR206W	SKN7	HSF	1	high-throughput	YDR155C	CPR1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR206W	SKN7	HSF	1	high-throughput	YDR156W	RPA14	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR206W	SKN7	HSF	1	high-throughput	YDR171W	HSP42	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR206W	SKN7	HSF	1	high-throughput	YER092W	IES5	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR206W	SKN7	HSF	1	high-throughput	YER150W	SPI1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR206W	SKN7	HSF	1	high-throughput	YFL061W	DDI2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
