annotation.type	regulated.orf	regulated.gene	experimental.condition	regulation.direction	evidence.type	regulator.orf
high-throughput	LSR1	LSR1	""	""	chromatin immunoprecipitation-chip evidence	YDL020C
high-throughput	LSR1	LSR1	""	""	chromatin immunoprecipitation-chip evidence	YNL216W
high-throughput	Q0050	AI1	cellular response to iron ion	positive	microarray RNA expression level evidence	YIR018W
high-throughput	Q0075	AI5_BETA	cellular response to boron-containing substance levels	negative	microarray RNA expression level evidence	YEL009C
high-throughput	Q0080	ATP8	cellular response to iron ion	positive	microarray RNA expression level evidence	YIR018W
high-throughput	Q0115	BI3	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	Q0120	BI4	cellular response to iron ion	positive	microarray RNA expression level evidence	YIR018W
high-throughput	Q0130	OLI1	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YBR049C
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YDR146C
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YDR421W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YDR463W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YEL009C
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YER161C
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YGL025C
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YGL035C
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YGL073W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YKL112W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YKR099W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YNL216W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YNL236W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YOR380W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YPL075W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YPL139C
high-throughput	snR11	SNR11	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR128	SNR128	""	""	chromatin immunoprecipitation-chip evidence	YER161C
high-throughput	snR128	SNR128	""	""	chromatin immunoprecipitation-chip evidence	YMR021C
high-throughput	snR128	SNR128	""	""	chromatin immunoprecipitation-chip evidence	YNL199C
high-throughput	snR128	SNR128	""	""	chromatin immunoprecipitation-chip evidence	YPL089C
high-throughput	snR13	SNR13	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR14	SNR14	""	""	chromatin immunoprecipitation-chip evidence	YKL112W
high-throughput	snR14	SNR14	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR17a	SNR17A	""	""	chromatin immunoprecipitation-chip evidence	YDR123C
high-throughput	snR17a	SNR17A	""	""	chromatin immunoprecipitation-chip evidence	YLR403W
high-throughput	snR17a	SNR17A	""	""	chromatin immunoprecipitation-chip evidence	YNL216W
high-throughput	snR17a	SNR17A	""	""	chromatin immunoprecipitation-chip evidence	YPR104C
high-throughput	snR18	SNR18	""	""	chromatin immunoprecipitation-chip evidence	YGL073W
high-throughput	snR18	SNR18	""	""	chromatin immunoprecipitation-chip evidence	YKL062W
high-throughput	snR18	SNR18	""	""	chromatin immunoprecipitation-chip evidence	YMR037C
high-throughput	snR189	SNR189	""	""	chromatin immunoprecipitation-chip evidence	YBR049C
high-throughput	snR190	SNR190	""	""	chromatin immunoprecipitation-chip evidence	YER161C
high-throughput	snR190	SNR190	""	""	chromatin immunoprecipitation-chip evidence	YMR021C
high-throughput	snR190	SNR190	""	""	chromatin immunoprecipitation-chip evidence	YNL199C
high-throughput	snR190	SNR190	""	""	chromatin immunoprecipitation-chip evidence	YPL089C
high-throughput	snR190	SNR190	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR3	SNR3	""	""	chromatin immunoprecipitation-chip evidence	YKL043W
high-throughput	snR3	SNR3	""	""	chromatin immunoprecipitation-chip evidence	YMR016C
high-throughput	snR34	SNR34	""	""	chromatin immunoprecipitation-chip evidence	YPR104C
high-throughput	snR37	SNR37	""	""	chromatin immunoprecipitation-chip evidence	YBR049C
high-throughput	snR37	SNR37	""	""	chromatin immunoprecipitation-chip evidence	YDR259C
high-throughput	snR40	SNR40	""	""	chromatin immunoprecipitation-chip evidence	YDR259C
high-throughput	snR40	SNR40	""	""	chromatin immunoprecipitation-chip evidence	YNL199C
high-throughput	snR41	SNR41	""	""	chromatin immunoprecipitation-chip evidence	YBR049C
high-throughput	snR44	SNR44	""	""	microarray RNA expression level evidence	YEL009C
high-throughput	snR44	SNR44	""	""	microarray RNA expression level evidence	YGL073W
high-throughput	snR44	SNR44	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR44	SNR44	""	""	microarray RNA expression level evidence	YLR403W
high-throughput	snR44	SNR44	""	""	microarray RNA expression level evidence	YNL216W
high-throughput	snR44	SNR44	""	""	microarray RNA expression level evidence	YPL075W
high-throughput	snR45	SNR45	""	""	chromatin immunoprecipitation-chip evidence	YNL216W
high-throughput	snR47	SNR47	""	""	chromatin immunoprecipitation-chip evidence	YDR253C
high-throughput	snR47	SNR47	""	""	chromatin immunoprecipitation-chip evidence	YHR206W
high-throughput	snR47	SNR47	""	""	chromatin immunoprecipitation-chip evidence	YJR060W
high-throughput	snR47	SNR47	""	""	chromatin immunoprecipitation-chip evidence	YNL103W
high-throughput	snR47	SNR47	""	""	chromatin immunoprecipitation-chip evidence	YNL216W
high-throughput	snR49	SNR49	""	""	chromatin immunoprecipitation-chip evidence	YPL089C
high-throughput	snR51	SNR51	""	""	chromatin immunoprecipitation-chip evidence	YBR049C
high-throughput	snR51	SNR51	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR52	SNR52	""	""	chromatin immunoprecipitation-chip evidence	YDR216W
high-throughput	snR52	SNR52	""	""	chromatin immunoprecipitation-chip evidence	YNL314W
high-throughput	snR52	SNR52	""	""	chromatin immunoprecipitation-chip evidence	YPL038W
high-throughput	snR53	SNR53	""	""	chromatin immunoprecipitation-chip evidence	YPL089C
high-throughput	snR54	SNR54	""	""	microarray RNA expression level evidence	YCR084C
high-throughput	snR54	SNR54	""	""	microarray RNA expression level evidence	YIL036W
high-throughput	snR54	SNR54	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR54	SNR54	""	""	microarray RNA expression level evidence	YOL148C
high-throughput	snR55	SNR55	""	""	chromatin immunoprecipitation-chip evidence	YDR259C
high-throughput	snR55	SNR55	""	""	chromatin immunoprecipitation-chip evidence	YKL112W
high-throughput	snR55	SNR55	""	""	chromatin immunoprecipitation-chip evidence	YNL199C
high-throughput	snR56	SNR56	""	""	chromatin immunoprecipitation-chip evidence	YPL038W
high-throughput	snR56	SNR56	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR57	SNR57	""	""	chromatin immunoprecipitation-chip evidence	YDR259C
high-throughput	snR57	SNR57	""	""	chromatin immunoprecipitation-chip evidence	YKL112W
high-throughput	snR57	SNR57	""	""	chromatin immunoprecipitation-chip evidence	YNL199C
high-throughput	snR58	SNR58	""	""	microarray RNA expression level evidence	YLR403W
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YBR049C
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YGL073W
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YIL036W
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YLR403W
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YNL216W
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YOL148C
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YPL075W
high-throughput	snR61	SNR61	""	""	chromatin immunoprecipitation-chip evidence	YBR083W
high-throughput	snR61	SNR61	""	""	chromatin immunoprecipitation-chip evidence	YDR259C
high-throughput	snR61	SNR61	""	""	chromatin immunoprecipitation-chip evidence	YER040W
high-throughput	snR61	SNR61	""	""	chromatin immunoprecipitation-chip evidence	YER161C
high-throughput	snR61	SNR61	""	""	chromatin immunoprecipitation-chip evidence	YKL112W
high-throughput	snR61	SNR61	""	""	chromatin immunoprecipitation-chip evidence	YNL199C
high-throughput	snR63	SNR63	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR64	SNR64	""	""	chromatin immunoprecipitation-chip evidence	YEL009C
high-throughput	snR64	SNR64	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR66	SNR66	""	""	chromatin immunoprecipitation-chip evidence	YNL216W
high-throughput	snR66	SNR66	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR67	SNR67	""	""	chromatin immunoprecipitation-chip evidence	YPL089C
high-throughput	snR68	SNR68	""	""	chromatin immunoprecipitation-chip evidence	YKL112W
high-throughput	snR68	SNR68	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR69	SNR69	""	""	chromatin immunoprecipitation-chip evidence	YER161C
high-throughput	snR69	SNR69	""	""	chromatin immunoprecipitation-chip evidence	YLR256W
high-throughput	snR70	SNR70	""	""	chromatin immunoprecipitation-chip evidence	YBR049C
high-throughput	snR72	SNR72	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR73	SNR73	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR75	SNR75	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR76	SNR76	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR79	SNR79	""	""	chromatin immunoprecipitation-chip evidence	YDR146C
high-throughput	snR8	SNR8	""	""	chromatin immunoprecipitation-chip evidence	YLR451W
high-throughput	snR83	SNR83	""	""	chromatin immunoprecipitation-chip evidence	YBR049C
high-throughput	snR84	SNR84	""	""	chromatin immunoprecipitation-chip evidence	YDL056W
high-throughput	snR84	SNR84	""	""	chromatin immunoprecipitation-chip evidence	YLR182W
high-throughput	snR84	SNR84	""	""	chromatin immunoprecipitation-chip evidence	YMR043W
high-throughput	snR84	SNR84	""	""	chromatin immunoprecipitation-chip evidence	YOR372C
high-throughput	SUC4	SUC4	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	tA(AGC)D	""	""	""	chromatin immunoprecipitation-chip evidence	YNL216W
high-throughput	tA(AGC)G	""	""	""	chromatin immunoprecipitation-chip evidence	YNL216W
high-throughput	tA(AGC)K2	""	""	""	chromatin immunoprecipitation-chip evidence	YHR084W
high-throughput	tA(AGC)K2	""	""	""	chromatin immunoprecipitation-chip evidence	YKL185W
high-throughput	tA(AGC)L	""	""	""	chromatin immunoprecipitation-chip evidence	YHR206W
high-throughput	tA(AGC)P	""	""	""	chromatin immunoprecipitation-chip evidence	YDL056W
high-throughput	tA(AGC)P	""	""	""	chromatin immunoprecipitation-chip evidence	YER111C
high-throughput	tA(AGC)P	""	""	""	chromatin immunoprecipitation-chip evidence	YHL020C
high-throughput	tA(AGC)P	""	""	""	chromatin immunoprecipitation-chip evidence	YLR182W
high-throughput	tC(GCA)P2	""	""	""	chromatin immunoprecipitation-chip evidence	YDL056W
high-throughput	tC(GCA)P2	""	""	""	chromatin immunoprecipitation-chip evidence	YLR182W
high-throughput	tD(GUC)K	""	""	""	chromatin immunoprecipitation-chip evidence	YOR028C
high-throughput	tE(CUC)D	""	""	""	chromatin immunoprecipitation-chip evidence	YDL106C
high-throughput	tE(UUC)E1	""	""	""	chromatin immunoprecipitation-chip evidence	YMR037C
high-throughput	tE(UUC)I	""	""	""	chromatin immunoprecipitation-chip evidence	YJR060W
high-throughput	tG(GCC)G2	""	""	""	chromatin immunoprecipitation-chip evidence	YBR049C
high-throughput	tG(GCC)P2	""	""	""	chromatin immunoprecipitation-chip evidence	YMR037C
high-throughput	tI(AAU)P2	""	""	""	chromatin immunoprecipitation-chip evidence	YGL013C
high-throughput	tI(AAU)P2	""	""	""	chromatin immunoprecipitation-chip evidence	YHL020C
high-throughput	tI(AAU)P2	""	""	""	chromatin immunoprecipitation-chip evidence	YJL110C
high-throughput	tK(UUU)D	""	""	""	chromatin immunoprecipitation-chip evidence	YER111C
high-throughput	tK(UUU)G2	""	""	""	chromatin immunoprecipitation-chip evidence	YGL071W
high-throughput	tK(UUU)G2	""	""	""	chromatin immunoprecipitation-chip evidence	YHR084W
high-throughput	tK(UUU)P	""	""	""	chromatin immunoprecipitation-chip evidence	YBR049C
high-throughput	tK(UUU)P	""	""	""	chromatin immunoprecipitation-chip evidence	YER111C
high-throughput	tK(UUU)P	""	""	""	chromatin immunoprecipitation-chip evidence	YHR084W
high-throughput	tK(UUU)P	""	""	""	chromatin immunoprecipitation-chip evidence	YIL101C
high-throughput	tK(UUU)P	""	""	""	chromatin immunoprecipitation-chip evidence	YIL131C
high-throughput	tK(UUU)P	""	""	""	chromatin immunoprecipitation-chip evidence	YMR043W
high-throughput	tK(UUU)P	""	""	""	chromatin immunoprecipitation-chip evidence	YNL068C
high-throughput	tK(UUU)P	""	""	""	chromatin immunoprecipitation-chip evidence	YOR372C
high-throughput	tK(UUU)P	""	""	""	chromatin immunoprecipitation-chip evidence	YPL202C
high-throughput	tL(CAA)G2	SUP54	""	""	chromatin immunoprecipitation-chip evidence	YOR372C
high-throughput	tL(CAA)K	""	""	""	chromatin immunoprecipitation-chip evidence	YDR207C
high-throughput	tM(CAU)J1	EMT5	""	""	chromatin immunoprecipitation-chip evidence	YMR016C
high-throughput	tP(AGG)C	SUF2	""	""	chromatin immunoprecipitation-chip evidence	YHL020C
high-throughput	tP(UGG)H	SUF8	""	""	chromatin immunoprecipitation-chip evidence	YBR049C
high-throughput	tP(UGG)N1	""	""	""	chromatin immunoprecipitation-chip evidence	YDL106C
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YAL051W
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YBL103C
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YBR049C
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YDL170W
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YDR043C
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YDR310C
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YDR423C
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YDR463W
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YGL071W
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YGL166W
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YHL020C
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YHR041C
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YIR023W
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YLR176C
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YMR042W
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YMR182C
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YNL027W
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YOL004W
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YPL075W
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YPL139C
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YPL202C
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YPL254W
high-throughput	tQ(UUG)B	""	""	""	microarray RNA expression level evidence	YPR008W
high-throughput	tQ(UUG)E1	""	""	""	chromatin immunoprecipitation-chip evidence	YHR084W
high-throughput	tQ(UUG)E1	""	""	""	chromatin immunoprecipitation-chip evidence	YLR256W
high-throughput	tQ(UUG)E1	""	""	""	chromatin immunoprecipitation-chip evidence	YMR042W
high-throughput	tR(CCG)L	TRR4	""	""	chromatin immunoprecipitation-chip evidence	YNL216W
high-throughput	tR(UCU)M1	""	""	""	chromatin immunoprecipitation-chip evidence	YHR084W
high-throughput	tT(UGU)P	""	""	""	chromatin immunoprecipitation-chip evidence	YDR216W
high-throughput	tV(AAC)K1	""	""	""	chromatin immunoprecipitation-chip evidence	YDR253C
high-throughput	tV(AAC)K1	""	""	""	chromatin immunoprecipitation-chip evidence	YNL103W
high-throughput	tV(CAC)D	""	""	""	chromatin immunoprecipitation-chip evidence	YDL106C
high-throughput	tY(GUA)M1	SUP5	""	""	chromatin immunoprecipitation-chip evidence	YLR256W
high-throughput	tY(GUA)M2	SUP8	""	""	chromatin immunoprecipitation-chip evidence	YDL106C
high-throughput	YAL001C	TFC3	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YNL330C
high-throughput	YAL001C	TFC3	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	YAL001C	TFC3	""	""	microarray RNA expression level evidence	YPL254W
high-throughput	YAL002W	VPS8	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YIR018W
high-throughput	YAL002W	VPS8	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YLR071C
high-throughput	YAL002W	VPS8	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YOR028C
high-throughput	YAL002W	VPS8	""	""	microarray RNA expression level evidence	YKL032C
high-throughput	YAL003W	EFB1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YBR049C
high-throughput	YAL003W	EFB1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YDL005C
high-throughput	YAL003W	EFB1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YLR071C
high-throughput	YAL003W	EFB1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YLR176C
high-throughput	YAL003W	EFB1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YOR110W
high-throughput	YAL003W	EFB1	cellular response to stress	""	microarray RNA expression level evidence	YLR403W
high-throughput	YAL003W	EFB1	""	""	chromatin immunoprecipitation-chip evidence	YDR253C
high-throughput	YAL003W	EFB1	""	""	chromatin immunoprecipitation-chip evidence	YGL073W
high-throughput	YAL003W	EFB1	""	""	chromatin immunoprecipitation-chip evidence	YKL062W
high-throughput	YAL003W	EFB1	""	""	chromatin immunoprecipitation-chip evidence	YMR037C
high-throughput	YAL003W	EFB1	""	""	chromatin immunoprecipitation-chip evidence	YNL103W
high-throughput	YAL003W	EFB1	""	""	microarray RNA expression level evidence	YCR084C
high-throughput	YAL003W	EFB1	""	""	microarray RNA expression level evidence	YGL073W
high-throughput	YAL003W	EFB1	""	""	microarray RNA expression level evidence	YIL036W
high-throughput	YAL003W	EFB1	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	YAL003W	EFB1	""	""	microarray RNA expression level evidence	YKL032C
high-throughput	YAL003W	EFB1	""	""	microarray RNA expression level evidence	YLR403W
high-throughput	YAL003W	EFB1	""	""	microarray RNA expression level evidence	YNL216W
high-throughput	YAL003W	EFB1	""	""	microarray RNA expression level evidence	YOL004W
high-throughput	YAL003W	EFB1	""	""	microarray RNA expression level evidence	YOL148C
high-throughput	YAL003W	EFB1	""	""	microarray RNA expression level evidence	YPL075W
high-throughput	YAL003W	EFB1	""	""	microarray RNA expression level evidence	YPL254W
high-throughput	YAL004W	""	""	""	chromatin immunoprecipitation-chip evidence	YNL216W
high-throughput	YAL004W	""	""	""	microarray RNA expression level evidence	YGL071W
high-throughput	YAL004W	""	""	""	microarray RNA expression level evidence	YLR403W
high-throughput	YAL004W	""	""	""	microarray RNA expression level evidence	YNL216W
high-throughput	YAL004W	""	""	""	microarray RNA expression level evidence	YNL236W
high-throughput	YAL004W	""	""	""	microarray RNA expression level evidence	YOL148C
high-throughput	YAL005C	SSA1	cellular response to heat	positive	microarray RNA expression level evidence	YGL073W
high-throughput	YAL005C	SSA1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YBR081C
high-throughput	YAL005C	SSA1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YDR207C
high-throughput	YAL005C	SSA1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YDR392W
high-throughput	YAL005C	SSA1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YGR104C
high-throughput	YAL005C	SSA1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YLR071C
high-throughput	YAL005C	SSA1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YMR037C
high-throughput	YAL005C	SSA1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YOR110W
high-throughput	YAL005C	SSA1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YPR086W
high-throughput	YAL005C	SSA1	cellular response to stress	""	microarray RNA expression level evidence	YLR403W
high-throughput	YAL005C	SSA1	""	""	chromatin immunoprecipitation-chip evidence	YDR253C
high-throughput	YAL005C	SSA1	""	""	chromatin immunoprecipitation-chip evidence	YGL073W
high-throughput	YAL005C	SSA1	""	""	chromatin immunoprecipitation-chip evidence	YKL062W
high-throughput	YAL005C	SSA1	""	""	chromatin immunoprecipitation-chip evidence	YMR037C
high-throughput	YAL005C	SSA1	""	""	chromatin immunoprecipitation-chip evidence	YNL103W
high-throughput	YAL007C	ERP2	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YGR252W
high-throughput	YAL007C	ERP2	""	""	microarray RNA expression level evidence	YBR049C
high-throughput	YAL007C	ERP2	""	""	microarray RNA expression level evidence	YBR083W
high-throughput	YAL007C	ERP2	""	""	microarray RNA expression level evidence	YCR084C
high-throughput	YAL007C	ERP2	""	""	microarray RNA expression level evidence	YDR392W
high-throughput	YAL007C	ERP2	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	YAL007C	ERP2	""	""	microarray RNA expression level evidence	YKR099W
high-throughput	YAL007C	ERP2	""	""	microarray RNA expression level evidence	YNL216W
high-throughput	YAL007C	ERP2	""	""	microarray RNA expression level evidence	YOL148C
high-throughput	YAL007C	ERP2	""	""	microarray RNA expression level evidence	YOR344C
high-throughput	YAL007C	ERP2	""	""	microarray RNA expression level evidence	YPL254W
high-throughput	YAL008W	FUN14	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YBR049C
high-throughput	YAL008W	FUN14	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YDL170W
high-throughput	YAL008W	FUN14	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YPR086W
high-throughput	YAL009W	SPO7	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YDR259C
high-throughput	YAL009W	SPO7	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YIL101C
high-throughput	YAL010C	MDM10	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YDL005C
high-throughput	YAL010C	MDM10	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YIL131C
high-throughput	YAL010C	MDM10	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YOR174W
high-throughput	YAL011W	SWC3	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YIL131C
high-throughput	YAL011W	SWC3	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YIR018W
high-throughput	YAL011W	SWC3	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YML007W
high-throughput	YAL012W	CYS3	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YDL005C
high-throughput	YAL012W	CYS3	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YDL170W
high-throughput	YAL012W	CYS3	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YDR259C
high-throughput	YAL012W	CYS3	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YGR252W
high-throughput	YAL012W	CYS3	""	""	chromatin immunoprecipitation-chip evidence	YDR253C
high-throughput	YAL012W	CYS3	""	""	chromatin immunoprecipitation-chip evidence	YDR253C
high-throughput	YAL012W	CYS3	""	""	chromatin immunoprecipitation-chip evidence	YJR060W
high-throughput	YAL012W	CYS3	""	""	chromatin immunoprecipitation-chip evidence	YNL103W
high-throughput	YAL012W	CYS3	""	""	chromatin immunoprecipitation-chip evidence	YPL038W
high-throughput	YAL012W	CYS3	""	""	microarray RNA expression level evidence	YIL036W
high-throughput	YAL012W	CYS3	""	""	microarray RNA expression level evidence	YLR403W
high-throughput	YAL012W	CYS3	""	""	microarray RNA expression level evidence	YNL216W
high-throughput	YAL012W	CYS3	""	""	microarray RNA expression level evidence	YNL236W
high-throughput	YAL012W	CYS3	""	""	microarray RNA expression level evidence	YOL148C
high-throughput	YAL012W	CYS3	""	""	microarray RNA expression level evidence	YPL075W
high-throughput	YAL013W	DEP1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YDL005C
high-throughput	YAL013W	DEP1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YIL101C
high-throughput	YAL013W	DEP1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YIL131C
high-throughput	YAL013W	DEP1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YOR110W
high-throughput	YAL013W	DEP1	cellular response to hydrogen peroxide	""	microarray RNA expression level evidence	YDR423C
high-throughput	YAL013W	DEP1	cellular response to hydrogen peroxide	""	microarray RNA expression level evidence	YML007W
high-throughput	YAL013W	DEP1	cellular response to stress	""	microarray RNA expression level evidence	YLR403W
high-throughput	YAL013W	DEP1	""	""	microarray RNA expression level evidence	YKL032C
high-throughput	YAL014C	SYN8	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YDL005C
high-throughput	YAL014C	SYN8	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YDR259C
high-throughput	YAL014C	SYN8	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YIL101C
high-throughput	YAL014C	SYN8	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YIL131C
high-throughput	YAL014C	SYN8	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YJL056C
high-throughput	YAL014C	SYN8	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YNL330C
high-throughput	YAL014C	SYN8	cellular response to stress	""	microarray RNA expression level evidence	YLR403W
high-throughput	YAL014C	SYN8	""	""	chromatin immunoprecipitation-chip evidence	YDR253C
high-throughput	YAL014C	SYN8	""	""	chromatin immunoprecipitation-chip evidence	YNL103W
high-throughput	YAL015C	NTG1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YIL131C
high-throughput	YAL015C	NTG1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YLR176C
high-throughput	YAL015C	NTG1	cellular response to hydrogen peroxide	""	microarray RNA expression level evidence	YDR423C
high-throughput	YAL016W	TPD3	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YGR252W
high-throughput	YAL016W	TPD3	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YML007W
high-throughput	YAL016W	TPD3	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YOR110W
high-throughput	YAL016W	TPD3	""	""	microarray RNA expression level evidence	YNL236W
high-throughput	YAL017W	PSK1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YDR259C
high-throughput	YAL017W	PSK1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YOR110W
high-throughput	YAL017W	PSK1	""	""	chromatin immunoprecipitation-chip evidence	YDR146C
high-throughput	YAL017W	PSK1	""	""	chromatin immunoprecipitation-chip evidence	YJR060W
high-throughput	YAL017W	PSK1	""	""	chromatin immunoprecipitation-chip evidence	YPR199C
high-throughput	YAL018C	LDS1	cellular response to heat	""	chromatin immunoprecipitation-chip evidence	YBR049C
